name,bio
Alex,"Alex is a villager who lives in the house southeast of Pierre's General Store. Alex is one of the twelve characters available to marry. During Spring, Alex exits his home at 8am unless it is raining. He stands by the tree to the right of his house, playing with his gridball, and he moves towards the left of the fenced-in area in the afternoon. During Summer, he can be found on the beach in the morning and running the Ice Cream Stand to the left of the museum in the afternoon. On the 16th of Summer, he has an appointment at the clinic. During Winter, he works out at the Spa almost every day. When he is not there, he will be at his house. After the Beach Resort on Ginger Island is unlocked, Alex may randomly spend the day there. After leaving the Island at 6pm, Alex will immediately go home to bed. Alex never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Alex lives with his grandparents, George and Evelyn. He is friends with Haley, and will dance with her at the Flower Dance if neither of them are dancing with the player. He also has a dog named Dusty. You can find Dusty's name from Pam or from Alex in a cutscene."
Elliott,"Elliott is a villager who lives on the beach south of Pelican Town. He's one of the twelve characters available to marry. During Spring, Summer, and Fall, players must first acquire two hearts of friendship with Elliott before being allowed inside his cabin. Players at any friendship level may enter in Winter between 10am and 6pm. After the Beach Resort on Ginger Island is unlocked, Elliott may randomly spend the day there. After leaving the Island at 6pm, Elliott will immediately go home to bed. Elliott never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Elliott lives alone in a cabin on the beach near Willy's Fish Shop. He is friends with Willy and Leah."
Harvey,"Harvey is a villager who lives in Pelican Town. He runs the town's medical clinic and is passionate about the health of the townsfolk. He's one of the twelve characters available to marry. On Tuesdays and Thursdays Harvey gives villagers their annual or quarterly checkups. On most other days he spends the morning manning the counter at the clinic, and the afternoon taking exercise around town. On rainy days, Harvey leaves the clinic and walks upstairs to his room at 12pm, regardless of whether or not there are patients in the clinic. Later, he stops by the Stardrop Saloon. After the Beach Resort on Ginger Island is unlocked, Harvey may randomly spend the day there. After leaving the Island at 6pm, Harvey will immediately go home to bed. Harvey never visits the Resort on Tuesdays, Thursdays, or Festival days. Harvey works with Maru at the clinic. He can be seen standing with her at the Luau, and his dialogue at that time suggests that he has a crush on her. Harvey will dance with Maru at the Flower Dance if not with the player."
Sam,"Sam is a villager who lives in Pelican Town. He's one of the twelve characters available to marry. He lives in the southern part of town, just north of the river at 1 Willow Lane. Sam is an outgoing and energetic young man with a passion for music. He works part-time at JojaMart. In his free time, he plays guitar. Despite his description in Dev Update 12, he does not actually ever play drums. He also skateboards and can be found playing videogames. Sam can often be found practicing his guitar in his bedroom sometimes with Sebastian. He's also frequently seen outside of his house playing a handheld video game, or attempting skateboard tricks. On weekends he can be found playing pool at The Stardrop Saloon. He works part-time on Monday and Wednesday at JojaMart (if it is in business), or at the Museum in the Artifacts and Minerals display (if the Community Center has been restored). He frequents the Stardrop Saloon during spring, goes to the beach during summer, and visits the woods west of town in the fall. When it's raining he'll often stay home all day, or visit the Stardrop Saloon for a few hours. On the 11th of Fall, he has an appointment at the clinic. His schedule can deviate if there are specific conditions like season, weather or certain days of the week. After the Beach Resort on Ginger Island is unlocked, Sam may randomly spend the day there. After leaving the Island at 6pm, Sam will immediately go home to bed. Sam never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Sam lives with his mother Jodi and younger brother Vincent. His mother spoils both of them, and claims that neither have ever had to do any chores. He is close to Vincent, and feels responsible for him during his dad's absence. In Spring, Year 2, Sam's father Kent returns and resides in the house with the rest of the family. After marriage, Sam will visit his family regularly to check up on them. Sebastian and Abigail are his bandmates and closest friends, and they often spend time together. When they are hanging out at The Stardrop Saloon, Sebastian is always seen beating Sam at pool, while Abigail watches from the couch. He is also friends with Penny, and will dance with her at the Flower Dance if neither of them is dancing with the player."
Sebastian,"Sebastian is a villager who lives in The Mountains north of Pelican Town. He's one of the twelve characters available to marry. Sebastian lives in the basement of his mother Robin's carpenter shop, north of town. After the Beach Resort on Ginger Island is unlocked, Sebastian may randomly spend the day there. After leaving the Island at 6pm, Sebastian will immediately go home to bed. Sebastian never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Sebastian lives with his mother, Robin, along with his step-dad Demetrius and half-sister Maru. Robin sometimes calls him Sebby. He feels that Maru is treated better than he is, and during Winter will talk about building a snow-goon that Demetrius demands he removes; he will then angrily question what his step-father's problem is. Sebastian is good friends with Sam; the two can be found hanging out at Sam's house or at The Stardrop Saloon playing pool. They also stand together at festivals, along with Abigail. It is implied that he has a crush on Abigail, after Sam tells the player Sebastian really wanted Abigail to be their drummer ""for some reason"". Furthermore, if married to Maru, she may sometimes say she ""wishes her brother would just ask Abigail out"". If married to Sam, he'll sometimes ask if you ""think Sebastian and Abigail will ever hook up"". During the Flower Dance, if neither Abigail nor Sebastian is dancing with the player, Sebastian dances with Abigail."
Shane,"Shane is a villager in Pelican Town who is often rude and unhappy, and suffers from depression and alcohol dependence. However, his attitude starts to change towards any player who chooses to befriend him. He works at JojaMart most days between 9am and 5pm unless the Community Center is completed, and frequently spends his evenings in The Stardrop Saloon. He doesn't work on the weekend except on rainy days, and is frequently around the ranch. In the Social Status menu, Shane's outfit will change to a Joja Corporation uniform when he is at his job at JojaMart. He's one of the twelve characters available to marry. If it is raining, Shane will go to work at JojaMart on Saturdays or Sundays, if the Community Center is not complete. He will also go to work at JojaMart until the day after completing the Community Center. Otherwise, he is usually found at The Stardrop Saloon in the evenings. After the Beach Resort on Ginger Island is unlocked, Shane may randomly spend the day there. After leaving the Island at 6pm, Shane will immediately go home to bed. Shane never visits the Resort on Festival days. Shane lives at his aunt Marnie's ranch with his goddaughter Jas. He works at JojaMart (unless the Community Center is completed), and Morris is his manager there."
Abigail,"Abigail is a villager who lives at Pierre's General Store in Pelican Town. She is one of the twelve characters available to marry. After the Beach Resort on Ginger Island is unlocked, Abigail may randomly spend the day there. After leaving the Island at 6pm, Abigail will immediately go home to bed. Abigail never visits the Resort on Festival days or her checkup day at Harvey's Clinic. Abigail lives with her parents, Pierre and Caroline, in the apartment behind her father's shop. Her mother will comment that she is concerned about Abigail's interests and hobbies. Abigail is friends with Sam and Sebastian, and will dance with Sebastian at the Flower Dance if the player doesn't ask her or Sebastian to dance. Abigail is also the drummer for Sam and Sebastian’s band."
Emily,"Emily is a villager who lives in Pelican Town. She is one of the twelve characters available to marry. Her home is south of the town square, right next to Jodi's house, at the address 2 Willow Lane. She works most evenings at The Stardrop Saloon starting at about 4:00 PM. Emily loves to make her own clothing, but fabric can be difficult to come by in town. Among her favorite gifts are cloth and wool. After the Beach Resort on Ginger Island is unlocked, Emily may randomly spend the day there. After leaving the Island at 6pm, Emily will immediately go home to bed. Emily never visits the Resort on Fall 15, Festival days, or her checkup day at Harvey's Clinic. Emily lives with her sister Haley, and together they care for their parents' home, who have been traveling the world for the past two years. She works with Gus, who employs her part-time at the saloon. She is also friends with Sandy, the two mention each other in dialogues, and she visits The Calico Desert on Sandy's birthday each year. Sandy, at her first meeting with the player, claims to have been aware of the farmer's presence even before access to The Calico Desert was opened, saying that Emily had written to her about the newcomer. Several dialogues and cutscenes reveal that Clint has romantic interest in Emily, though he is too shy to tell her."
Haley,"Haley is a villager who lives in Pelican Town. She's one of the twelve characters available to marry. After the Beach Resort on Ginger Island is unlocked, Haley may randomly spend the day there. After leaving the Island at 6pm, Haley will immediately go home to bed. Haley never visits the Resort on Festival days or her checkup day at Harvey's Clinic. Haley lives with her sister Emily, and together they care for their parents' home, who have been traveling the world for the past two years. Haley is friends with Alex."
Leah,"Leah is a villager who lives in a small cottage outside Pelican Town. She's one of the twelve characters available to marry. She spends each morning sculpting inside her cottage. Her home opens at 10am and closes at 6pm, but during Spring, Summer, or Fall, players must first acquire two hearts of friendship before being allowed inside. Players at any friendship level may enter during Winter between 10am and 6pm. After the Beach Resort on Ginger Island is unlocked, Leah may randomly spend the day there. After leaving the Island at 6pm, Leah will immediately go home to bed. Leah never visits the Resort on Festival days or her checkup day at Harvey's Clinic."
Maru,"Maru is a villager who lives in The Mountains north of Pelican Town. She's one of the twelve characters available to marry. She lives north of town with her family in a house attached to Robin's carpenter shop. In the Social Status menu, Maru's outfit will change to a nursing uniform when she is at her job at the clinic. After the Beach Resort on Ginger Island is unlocked, Maru may randomly spend the day there. After leaving the Island at 6pm, Maru will immediately go home to bed. Maru never visits the Resort on Tuesdays, Thursdays, or Festival days. Maru lives with her parents Demetrius and Robin, as well as her half-brother Sebastian who is Robin's son. She has a strained relationship with Sebastian and wishes they were closer. Maru works for Harvey at the clinic, and both worry that it doesn't receive enough patients. Maru dances with Harvey at the Flower dance if neither is dancing with the player."
Penny,"Penny is a villager who lives in Pelican Town. She's one of the twelve characters available to marry. Her trailer is just east of the center of town, west of the river. She tutors Vincent and Jas at the library. Penny can usually be found in town reading or cleaning up at the trailer. On Tuesday, Wednesday, and Friday she tutors Jas and Vincent at the museum, walking them both home afterwards. She doesn't tutor in the Summer season. Many Saturdays in Spring and Fall she'll take them to the town playground. When it's raining Penny can either be found inside her trailer or visiting the museum looking at the selection of books. After the Beach Resort on Ginger Island is unlocked, Penny may randomly spend the day there. After leaving the Island at 6pm, Penny will immediately go home to bed. Penny never visits the Resort on Tuesday, Wednesday, Friday, Festival days, or her checkup day at Harvey's Clinic."
Caroline,"Caroline is a villager who lives in Pelican Town. After the Beach Resort on Ginger Island is unlocked, Caroline may randomly spend the day there. After leaving the Island at 6pm, Caroline will immediately go home to bed. Caroline never visits the Resort on Festival days or her checkup day at Harvey's Clinic. Caroline is married to Pierre and they live with their daughter Abigail in Pierre's General Store. Jodi mentions that Caroline is her best friend, and that she is able to tell her anything. The two also attend aerobics class on Tuesdays along with Marnie, Emily and Robin."
Clint,"Clint is a villager who lives in Pelican Town. He owns and runs the local Blacksmith. Clint is unavailable for shopping, tool upgrades, or geode processing on Fridays after the Community Center is restored, unless it is raining. After the Beach Resort on Ginger Island is unlocked, Clint may randomly spend Friday there. After leaving the Island at 6pm, Clint will immediately go home to bed. Clint often visits the saloon in order to socialize with Emily, who he has a crush on but is nervous to approach. A dialogue with Gus indicates that he suspects Clint's crush but has decided to not ask him about it."
Demetrius,"Demetrius is a villager who resides at 24 Mountain Road, on The Mountain, with his wife Robin, daughter Maru, and step-son Sebastian. Demetrius is a scientist who studies the valley's local wildlife. He can often be found working in his laboratory or outdoors taking notes. After the Beach Resort on Ginger Island is unlocked, Demetrius may randomly spend the day there. After leaving the Island at 6pm, Demetrius will immediately go home to bed. Demetrius never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Demetrius is married to Robin and lives with his daughter Maru and step-son Sebastian. Maru is his daughter with Robin, and Sebastian is Robin's son from an earlier relationship. It is assumed that Demetrius is Robin's second husband, because there are 2 books in the bookcase of their room titled ""Maximizing Your Second Marriage"" and ""Practical Tips For First-Time Step-Dads."" Demetrius is very protective of Maru, as shown in her two heart event."
Dwarf,"The Dwarf is a valley resident who lives in The Mines. Initially the way is blocked off by an unbreakable rock, just inside the entrance. After upgrading to at least a steel pickaxe, the stone can be broken. A cherry bomb (or stronger bomb) will also break the rock. The Dwarf will start out speaking Dwarvish, which is unreadable by the player. To understand Dwarvish the 4 Dwarvish scrolls must be acquired from within the mines. After donating them to the museum, Gunther will reward the player with the Dwarvish Translation Guide to use which allows for understanding the Dwarf's speech. Purchases from the Dwarf's shop cannot be made and friendship cannot be affected with the Dwarf until Dwarvish is understood. The Dwarf lives just to the east of the entrance to the mines and does not move from there. Due to a 1000-year war between the Dwarves and the shadow people, Dwarf is sometimes suspicious of the player, believing they may be a spy sent by the shadow people. The Dwarf appears to have some respect for the wizard, as seen in their heart event. The Dwarf harbors dislike for Krobus, on account of the aforementioned war between their people, the outcome of which caused the dwarf race to disappear, leaving behind only relics (found as artifacts)"
Evelyn,"Evelyn Mullner is a villager who lives in Pelican Town, and is in charge of the town's flowers. She can usually be found in her home's kitchen or tending to the gardens in the center of town. On the 2nd of every season, she has an appointment at the clinic, and on the 23rd of every season she accompanies George to his appointment. Evelyn never visits the Beach Resort on Ginger Island. Evelyn is married to George, and lives with her grandson Alex. Alex's deceased mother Clara was Evelyn's daughter. This is possibly a note from Evelyn's daughter, Clara, who is the mother of Alex. Clara passed away and left Alex to live with Evelyn and George. In the beginning of Stardew Valley, when meeting all the townspeople, Evelyn will give you permission to call her ""Granny""."
George,"George Mullner is a villager who lives in Pelican Town. The 23rd of every season, George has an appointment at Harvey's Clinic, accompanied by Evelyn. George never visits the Beach Resort on Ginger Island. George is married to Evelyn and lives with his grandson, Alex. Alex's deceased mother Clara was his daughter."
Gus,"Gus is a villager who lives and works at The Stardrop Saloon in Pelican Town. He owns the establishment. After the Beach Resort on Ginger Island is unlocked, Gus may randomly spend the day there. (He will leave a cash box on the bar, so the player is still able to make purchases.) After leaving the Island at 6pm, Gus will tend bar until 12:30am, when he goes to bed. Gus never visits the Resort on Festival days or his checkup day at Harvey's Clinic. Gus employs Emily part-time to help at the saloon. Pam is also a frequent customer, and can often be seen chatting with Gus."
Jas,"Jas is a villager who lives just outside Pelican Town. She's a young girl, and can often be found with her best friend Vincent. After the Beach Resort on Ginger Island is unlocked, Jas may randomly spend the day there. After leaving the Island at 6pm, Jas will immediately go home to bed. Jas never visits the Resort on Festival days or her checkup day at Harvey's Clinic. Jas also never visits the Resort without an adult accompanying her. Jas lives with her aunt Marnie and her godfather Shane on her ranch outside town. She's often seen alongside her friend Vincent, who is the only resident of town close to her age. Penny takes time to teach both Vincent and Jas at the museum since there's no school nearby. Jas' parents both died by unknown causes."
Jodi,"Jodi is a villager who lives in Pelican Town. She lives at 1 Willow Lane with her husband Kent (who is away serving in the military until the first of Spring Year 2) and two sons, Sam and Vincent. After the Beach Resort on Ginger Island is unlocked, Jodi may randomly spend the day there. After leaving the Island at 6pm, Jodi will immediately go home to bed. Jodi never visits the Resort on Festival days or her checkup day at Harvey's Clinic. She also won't visit the Resort on Vincent's checkup day. Jodi is married to Kent and together they have two sons, Sam and Vincent. Jodi will mention that Caroline is her best friend and that she is able to tell her anything. They also attend exercise classes along with some of the other Pelican Town ladies."
